Time;S&P
06.09.2019 16:35;2981,68
06.09.2019 16:40;2982,69
06.09.2019 16:45;2983,22
06.09.2019 16:50;2982,84
06.09.2019 16:55;2981,68
06.09.2019 17:00;2981,52
06.09.2019 17:05;2981,94
06.09.2019 17:10;2981,98
06.09.2019 17:15;2981,17
06.09.2019 17:20;2981,74
06.09.2019 17:25;2981,45
06.09.2019 17:30;2980,62
06.09.2019 17:35;2981,06
06.09.2019 17:40;2981,46
06.09.2019 17:45;2981,04
06.09.2019 17:50;2980,1
06.09.2019 17:55;2979,89
06.09.2019 18:00;2980,52
06.09.2019 18:05;2980,84
06.09.2019 18:10;2980,65
06.09.2019 18:15;2981,06
06.09.2019 18:20;2981,36
06.09.2019 18:25;2981,15
06.09.2019 18:30;2980,12
06.09.2019 18:35;2981,19
06.09.2019 18:40;2980,23
06.09.2019 18:45;2977,78
06.09.2019 18:50;2978,63
06.09.2019 18:55;2979,75
06.09.2019 19:00;2982,14
06.09.2019 19:05;2980,37
06.09.2019 19:10;2981,1
06.09.2019 19:15;2981,56
06.09.2019 19:20;2983,25
06.09.2019 19:25;2983,9
06.09.2019 19:30;2983,89
06.09.2019 19:35;2984,13
06.09.2019 19:40;2983,55
06.09.2019 19:45;2983,51
06.09.2019 19:50;2983,68
06.09.2019 19:55;2983,82
06.09.2019 20:00;2982,74
06.09.2019 20:05;2982,72
06.09.2019 20:10;2982,96
06.09.2019 20:15;2982,81
06.09.2019 20:20;2982,54
06.09.2019 20:25;2982,85
06.09.2019 20:30;2983,16
06.09.2019 20:35;2982,62
06.09.2019 20:40;2981,9
06.09.2019 20:45;2982,14
06.09.2019 20:50;2981,34
06.09.2019 20:55;2981,54
06.09.2019 21:00;2981,06
06.09.2019 21:05;2981,05
06.09.2019 21:10;2981,73
06.09.2019 21:15;2981,3
06.09.2019 21:20;2982,56
06.09.2019 21:25;2983,5
06.09.2019 21:30;2983,88
06.09.2019 21:35;2982,1
06.09.2019 21:40;2980,45
06.09.2019 21:45;2979,77
06.09.2019 21:50;2978,01
06.09.2019 21:55;2978,83
06.09.2019 22:00;2978,71
06.09.2019 22:05;2978,71
06.09.2019 22:10;2978,71
09.09.2019 15:30;2984,36
09.09.2019 15:35;2983,15
09.09.2019 15:40;2983,97
09.09.2019 15:45;2982,98
09.09.2019 15:50;2982,11
09.09.2019 15:55;2980,35
09.09.2019 16:00;2982,01
09.09.2019 16:05;2983,08
09.09.2019 16:10;2983,33
09.09.2019 16:15;2984,09
09.09.2019 16:20;2984,57
09.09.2019 16:25;2984,03
09.09.2019 16:30;2984,72
09.09.2019 16:35;2984,02
09.09.2019 16:40;2984,49
09.09.2019 16:45;2984,14
09.09.2019 16:50;2985,17
09.09.2019 16:55;2985,7
09.09.2019 17:00;2985,38
09.09.2019 17:05;2984,46
09.09.2019 17:10;2985,04
09.09.2019 17:15;2984,21
09.09.2019 17:20;2983,84
09.09.2019 17:25;2984,16
09.09.2019 17:30;2984,22
09.09.2019 17:35;2983,05
